file,question,score
n01-sor-et31-p01-c01.txt,Q1,7
n01-sor-et31-p01-c01.txt,Q2,7.7948717948718
n01-sor-et31-p01-c01.txt,Q3,7.15
n01-sor-et31-p01-c01.txt,Q4,7.875
n01-sor-et31-p01-c01.txt,Q5,6.925
n01-sor-et31-p01-c01.txt,Q6,6.075
n01-sor-et31-p01-c01.txt,Q7,7.475
n01-sor-et31-p01-c01.txt,Q8,7
n01-sor-et31-p01-c01.txt,Q9,6.65
n01-sor-et31-p01-c12.txt,Q1,6.08333333333333
n01-sor-et31-p01-c12.txt,Q2,8.05714285714286
n01-sor-et31-p01-c12.txt,Q3,7.11111111111111
n01-sor-et31-p01-c12.txt,Q4,7.72222222222222
n01-sor-et31-p01-c12.txt,Q5,5.86111111111111
n01-sor-et31-p01-c12.txt,Q6,5.48571428571429
n01-sor-et31-p01-c12.txt,Q7,7.2
n01-sor-et31-p01-c12.txt,Q8,6.72222222222222
n01-sor-et31-p01-c12.txt,Q9,5.61111111111111
n01-sor-et31-p01-c13.txt,Q1,7.8
n01-sor-et31-p01-c13.txt,Q2,7.5
n01-sor-et31-p01-c13.txt,Q3,7.8
n01-sor-et31-p01-c13.txt,Q4,8.025
n01-sor-et31-p01-c13.txt,Q5,7.575
n01-sor-et31-p01-c13.txt,Q6,7.725
n01-sor-et31-p01-c13.txt,Q7,8.1
n01-sor-et31-p01-c13.txt,Q8,7.55
n01-sor-et31-p01-c13.txt,Q9,6.46153846153846
n01-sor-et31-p02-c01.txt,Q1,6.90384615384615
n01-sor-et31-p02-c01.txt,Q2,7.23076923076923
n01-sor-et31-p02-c01.txt,Q3,6.98076923076923
n01-sor-et31-p02-c01.txt,Q4,7.90384615384615
n01-sor-et31-p02-c01.txt,Q5,6.80769230769231
n01-sor-et31-p02-c01.txt,Q6,6.15384615384615
n01-sor-et31-p02-c01.txt,Q7,7.57692307692308
n01-sor-et31-p02-c01.txt,Q8,7.15384615384615
n01-sor-et31-p02-c01.txt,Q9,5.98039215686275
n01-sor-et31-p02-c02.txt,Q1,7.67391304347826
n01-sor-et31-p02-c02.txt,Q2,7
n01-sor-et31-p02-c02.txt,Q3,7.1304347826087
n01-sor-et31-p02-c02.txt,Q4,8.06521739130435
n01-sor-et31-p02-c02.txt,Q5,7.52173913043478
n01-sor-et31-p02-c02.txt,Q6,7.30434782608696
