file,question,score
n01-bee-sym3-p01-c01.txt,Q1,7.8983050847
n01-bee-sym3-p01-c01.txt,Q2,6.7627118644
n01-bee-sym3-p01-c01.txt,Q3,7
n01-bee-sym3-p01-c01.txt,Q4,8.5593220339
n01-bee-sym3-p01-c01.txt,Q5,7.4406779661
n01-bee-sym3-p01-c01.txt,Q6,7.8644067797
n01-bee-sym3-p01-c01.txt,Q7,8.4406779661
n01-bee-sym3-p01-c01.txt,Q8,7.7966101695
n01-bee-sym3-p01-c01.txt,Q9,7.6379310345
n01-bee-sym3-p01-c05.txt,Q1,5.3559322034
n01-bee-sym3-p01-c05.txt,Q2,8.7966101695
n01-bee-sym3-p01-c05.txt,Q3,8.4406779661
n01-bee-sym3-p01-c05.txt,Q4,7.2881355932
n01-bee-sym3-p01-c05.txt,Q5,6.1016949153
n01-bee-sym3-p01-c05.txt,Q6,4.6610169492
n01-bee-sym3-p01-c05.txt,Q7,8.7457627119
n01-bee-sym3-p01-c05.txt,Q8,6.2542372881
n01-bee-sym3-p01-c05.txt,Q9,4.1016949153
n01-bee-sym3-p01-c10.txt,Q1,6.6779661017
n01-bee-sym3-p01-c10.txt,Q2,8.3559322034
n01-bee-sym3-p01-c10.txt,Q3,7.9152542373
n01-bee-sym3-p01-c10.txt,Q4,8.0338983051
n01-bee-sym3-p01-c10.txt,Q5,6.6101694915
n01-bee-sym3-p01-c10.txt,Q6,6.0508474576
n01-bee-sym3-p01-c10.txt,Q7,8.3389830508
n01-bee-sym3-p01-c10.txt,Q8,7.3389830508
n01-bee-sym3-p01-c10.txt,Q9,5.6034482759
n01-bee-sym3-p02-c01.txt,Q1,7.9215686275
n01-bee-sym3-p02-c01.txt,Q2,6.6862745098
n01-bee-sym3-p02-c01.txt,Q3,7.2941176471
n01-bee-sym3-p02-c01.txt,Q4,8.6274509804
n01-bee-sym3-p02-c01.txt,Q5,7.7058823529
n01-bee-sym3-p02-c01.txt,Q6,7.9807692308
n01-bee-sym3-p02-c01.txt,Q7,8.7647058824
n01-bee-sym3-p02-c01.txt,Q8,8.3653846154
n01-bee-sym3-p02-c01.txt,Q9,7.4423076923
n01-bee-sym3-p02-c06.txt,Q1,7.5
n01-bee-sym3-p02-c06.txt,Q2,7.5192307692
n01-bee-sym3-p02-c06.txt,Q3,7.1538461538
n01-bee-sym3-p02-c06.txt,Q4,8.2692307692
n01-bee-sym3-p02-c06.txt,Q5,7.5384615385
n01-bee-sym3-p02-c06.txt,Q6,7.3846153846
n01-bee-sym3-p02-c06.txt,Q7,8.6274509804
n01-bee-sym3-p02-c06.txt,Q8,8.1730769231
n01-bee-sym3-p02-c06.txt,Q9,7.7884615385
n01-bee-sym3-p02-c10.txt,Q1,6.8
n01-bee-sym3-p02-c10.txt,Q2,8.66
n01-bee-sym3-p02-c10.txt,Q3,8.1
n01-bee-sym3-p02-c10.txt,Q4,8.56
n01-bee-sym3-p02-c10.txt,Q5,6.4117647059
n01-bee-sym3-p02-c10.txt,Q6,6
n01-bee-sym3-p02-c10.txt,Q7,8.84
n01-bee-sym3-p02-c10.txt,Q8,7.4901960784
n01-bee-sym3-p02-c10.txt,Q9,6.7843137255
n01-bee-sym3-p03-c02.txt,Q1,7.82
n01-bee-sym3-p03-c02.txt,Q2,6.0980392157
n01-bee-sym3-p03-c02.txt,Q3,6.8039215686
n01-bee-sym3-p03-c02.txt,Q4,8.0588235294
n01-bee-sym3-p03-c02.txt,Q5,7.5294117647
n01-bee-sym3-p03-c02.txt,Q6,7.6862745098
n01-bee-sym3-p03-c02.txt,Q7,8.4705882353
n01-bee-sym3-p03-c02.txt,Q8,7.6078431373
n01-bee-sym3-p03-c02.txt,Q9,7.7450980392
n01-bee-sym3-p03-c06.txt,Q1,7.6862745098
n01-bee-sym3-p03-c06.txt,Q2,7.6666666667
n01-bee-sym3-p03-c06.txt,Q3,7.5490196078
n01-bee-sym3-p03-c06.txt,Q4,8.2549019608
n01-bee-sym3-p03-c06.txt,Q5,7.2549019608
n01-bee-sym3-p03-c06.txt,Q6,7.3921568627
n01-bee-sym3-p03-c06.txt,Q7,8.5882352941
n01-bee-sym3-p03-c06.txt,Q8,7.5490196078
n01-bee-sym3-p03-c06.txt,Q9,7.5294117647
n01-bee-sym3-p03-c11.txt,Q1,8
n01-bee-sym3-p03-c11.txt,Q2,8
n01-bee-sym3-p03-c11.txt,Q3,7.9803921569
n01-bee-sym3-p03-c11.txt,Q4,8.9215686275
n01-bee-sym3-p03-c11.txt,Q5,8.4705882353
n01-bee-sym3-p03-c11.txt,Q6,7.6274509804
n01-bee-sym3-p03-c11.txt,Q7,8.9607843137
n01-bee-sym3-p03-c11.txt,Q8,8.0196078431
n01-bee-sym3-p03-c11.txt,Q9,8.0784313725
n01-bee-sym3-p04-c02.txt,Q1,7.5454545455
n01-bee-sym3-p04-c02.txt,Q2,5.8
n01-bee-sym3-p04-c02.txt,Q3,6.462962963
n01-bee-sym3-p04-c02.txt,Q4,7.6909090909
n01-bee-sym3-p04-c02.txt,Q5,7.4259259259
n01-bee-sym3-p04-c02.txt,Q6,7.4727272727
n01-bee-sym3-p04-c02.txt,Q7,7.7818181818
n01-bee-sym3-p04-c02.txt,Q8,7.6
n01-bee-sym3-p04-c02.txt,Q9,7.4181818182
n01-bee-sym3-p04-c07.txt,Q1,7.5454545455
n01-bee-sym3-p04-c07.txt,Q2,6.8518518519
n01-bee-sym3-p04-c07.txt,Q3,6.8
n01-bee-sym3-p04-c07.txt,Q4,7.9454545455
n01-bee-sym3-p04-c07.txt,Q5,7.3333333333
n01-bee-sym3-p04-c07.txt,Q6,7.6181818182
n01-bee-sym3-p04-c07.txt,Q7,7.9090909091
n01-bee-sym3-p04-c07.txt,Q8,7.3454545455
n01-bee-sym3-p04-c07.txt,Q9,7.2545454545
n01-bee-sym3-p04-c11.txt,Q1,7.6296296296
n01-bee-sym3-p04-c11.txt,Q2,7.6181818182
n01-bee-sym3-p04-c11.txt,Q3,7.6481481481
n01-bee-sym3-p04-c11.txt,Q4,8.2363636364
n01-bee-sym3-p04-c11.txt,Q5,7.6727272727
n01-bee-sym3-p04-c11.txt,Q6,6.5454545455
n01-bee-sym3-p04-c11.txt,Q7,8.2
n01-bee-sym3-p04-c11.txt,Q8,7.8727272727
n01-bee-sym3-p04-c11.txt,Q9,8.0727272727
n01-bee-sym3-p05-c03.txt,Q1,7.6538461538
n01-bee-sym3-p05-c03.txt,Q2,8
n01-bee-sym3-p05-c03.txt,Q3,7.8461538462
n01-bee-sym3-p05-c03.txt,Q4,8.4807692308
n01-bee-sym3-p05-c03.txt,Q5,7.1346153846
n01-bee-sym3-p05-c03.txt,Q6,7.137254902
n01-bee-sym3-p05-c03.txt,Q7,8.3846153846
n01-bee-sym3-p05-c03.txt,Q8,7.25
n01-bee-sym3-p05-c03.txt,Q9,6.1923076923
n01-bee-sym3-p05-c07.txt,Q1,8.22
n01-bee-sym3-p05-c07.txt,Q2,7.5882352941
n01-bee-sym3-p05-c07.txt,Q3,8.0588235294
n01-bee-sym3-p05-c07.txt,Q4,8.7647058824
n01-bee-sym3-p05-c07.txt,Q5,8.48
n01-bee-sym3-p05-c07.txt,Q6,8.04
n01-bee-sym3-p05-c07.txt,Q7,8.5
n01-bee-sym3-p05-c07.txt,Q8,8.2352941176
n01-bee-sym3-p05-c07.txt,Q9,8.1764705882
n01-bee-sym3-p05-c12.txt,Q1,7.36
n01-bee-sym3-p05-c12.txt,Q2,7.3137254902
n01-bee-sym3-p05-c12.txt,Q3,7.431372549
n01-bee-sym3-p05-c12.txt,Q4,8.3921568627
n01-bee-sym3-p05-c12.txt,Q5,7.36
n01-bee-sym3-p05-c12.txt,Q6,6.5490196078
n01-bee-sym3-p05-c12.txt,Q7,8.2352941176
n01-bee-sym3-p05-c12.txt,Q8,7.7450980392
n01-bee-sym3-p05-c12.txt,Q9,7.7254901961
n01-bee-sym3-p06-c03.txt,Q1,7.4035087719
n01-bee-sym3-p06-c03.txt,Q2,7.298245614
n01-bee-sym3-p06-c03.txt,Q3,7.2105263158
n01-bee-sym3-p06-c03.txt,Q4,8
n01-bee-sym3-p06-c03.txt,Q5,7.1228070175
n01-bee-sym3-p06-c03.txt,Q6,7
n01-bee-sym3-p06-c03.txt,Q7,8.350877193
n01-bee-sym3-p06-c03.txt,Q8,7.6140350877
n01-bee-sym3-p06-c03.txt,Q9,7.4912280702
n01-bee-sym3-p06-c08.txt,Q1,8.1206896552
n01-bee-sym3-p06-c08.txt,Q2,6.9482758621
n01-bee-sym3-p06-c08.txt,Q3,7.3859649123
n01-bee-sym3-p06-c08.txt,Q4,8.1896551724
n01-bee-sym3-p06-c08.txt,Q5,8.1379310345
n01-bee-sym3-p06-c08.txt,Q6,7.9137931034
n01-bee-sym3-p06-c08.txt,Q7,8.5
n01-bee-sym3-p06-c08.txt,Q8,8.0344827586
n01-bee-sym3-p06-c08.txt,Q9,8.1724137931
n01-bee-sym3-p06-c12.txt,Q1,7.3793103448
n01-bee-sym3-p06-c12.txt,Q2,7.0172413793
n01-bee-sym3-p06-c12.txt,Q3,6.9482758621
n01-bee-sym3-p06-c12.txt,Q4,8.0689655172
n01-bee-sym3-p06-c12.txt,Q5,7.1379310345
n01-bee-sym3-p06-c12.txt,Q6,7.0344827586
n01-bee-sym3-p06-c12.txt,Q7,8.2068965517
n01-bee-sym3-p06-c12.txt,Q8,7.8793103448
n01-bee-sym3-p06-c12.txt,Q9,8.0172413793
n01-bee-sym3-p07-c04.txt,Q1,6.4821428571
n01-bee-sym3-p07-c04.txt,Q2,5.5714285714
n01-bee-sym3-p07-c04.txt,Q3,5.8545454545
n01-bee-sym3-p07-c04.txt,Q4,7.3571428571
n01-bee-sym3-p07-c04.txt,Q5,5.7636363636
n01-bee-sym3-p07-c04.txt,Q6,6.5
n01-bee-sym3-p07-c04.txt,Q7,8.2321428571
n01-bee-sym3-p07-c04.txt,Q8,6.2857142857
n01-bee-sym3-p07-c04.txt,Q9,4.2142857143
n01-bee-sym3-p07-c08.txt,Q1,7.6964285714
n01-bee-sym3-p07-c08.txt,Q2,6.5178571429
n01-bee-sym3-p07-c08.txt,Q3,7.4909090909
n01-bee-sym3-p07-c08.txt,Q4,8.6071428571
n01-bee-sym3-p07-c08.txt,Q5,7.9285714286
n01-bee-sym3-p07-c08.txt,Q6,7.5714285714
n01-bee-sym3-p07-c08.txt,Q7,8.6071428571
n01-bee-sym3-p07-c08.txt,Q8,7.8571428571
n01-bee-sym3-p07-c08.txt,Q9,7.9285714286
n01-bee-sym3-p08-c04.txt,Q1,7.5833333333
n01-bee-sym3-p08-c04.txt,Q2,6.9787234043
n01-bee-sym3-p08-c04.txt,Q3,6.9166666667
n01-bee-sym3-p08-c04.txt,Q4,7.7083333333
n01-bee-sym3-p08-c04.txt,Q5,6.5319148936
n01-bee-sym3-p08-c04.txt,Q6,7
n01-bee-sym3-p08-c04.txt,Q7,8.2083333333
n01-bee-sym3-p08-c04.txt,Q8,7.3541666667
n01-bee-sym3-p08-c04.txt,Q9,7.125
n01-bee-sym3-p08-c09.txt,Q1,7.5
n01-bee-sym3-p08-c09.txt,Q2,6.9791666667
n01-bee-sym3-p08-c09.txt,Q3,7.1666666667
n01-bee-sym3-p08-c09.txt,Q4,8.0416666667
n01-bee-sym3-p08-c09.txt,Q5,6.9375
n01-bee-sym3-p08-c09.txt,Q6,7.2608695652
