file,question,score
file-piece.txt,Q1,Q02
file-piece.txt,Q2,Q03
file-piece.txt,Q3,Q04
file-piece.txt,Q4,Q05
file-piece.txt,Q5,Q06
file-piece.txt,Q6,Q07
file-piece.txt,Q7,Q08
file-piece.txt,Q8,Q09
file-piece.txt,Q9,
n01-chp-etd003s-p01-c04.txt,Q1,6.78461538461538
n01-chp-etd003s-p01-c04.txt,Q2,7.66153846153846
n01-chp-etd003s-p01-c04.txt,Q3,7.47692307692308
n01-chp-etd003s-p01-c04.txt,Q4,7.640625
n01-chp-etd003s-p01-c04.txt,Q5,6.4
n01-chp-etd003s-p01-c04.txt,Q6,5.96825396825397
n01-chp-etd003s-p01-c04.txt,Q7,7.75
n01-chp-etd003s-p01-c04.txt,Q8,6.578125
n01-chp-etd003s-p01-c04.txt,Q9,6.8
n01-chp-etd003s-p01-c05.txt,Q1,7.05194805194805
n01-chp-etd003s-p01-c05.txt,Q2,7.83116883116883
n01-chp-etd003s-p01-c05.txt,Q3,7.46753246753247
n01-chp-etd003s-p01-c05.txt,Q4,8.1038961038961
n01-chp-etd003s-p01-c05.txt,Q5,6.55263157894737
n01-chp-etd003s-p01-c05.txt,Q6,5.81333333333333
n01-chp-etd003s-p01-c05.txt,Q7,7.68421052631579
n01-chp-etd003s-p01-c05.txt,Q8,6.88
n01-chp-etd003s-p01-c05.txt,Q9,6.3
n01-chp-etd003s-p01-c06.txt,Q1,7.16666666666667
n01-chp-etd003s-p01-c06.txt,Q2,8
n01-chp-etd003s-p01-c06.txt,Q3,7.72727272727273
n01-chp-etd003s-p01-c06.txt,Q4,7.98529411764706
n01-chp-etd003s-p01-c06.txt,Q5,6.04477611940299
n01-chp-etd003s-p01-c06.txt,Q6,5.81818181818182
n01-chp-etd003s-p01-c06.txt,Q7,8.04411764705882
n01-chp-etd003s-p01-c06.txt,Q8,6.41538461538462
n01-chp-etd003s-p01-c06.txt,Q9,5.75806451612903
n01-chp-etd003s-p01-c16.txt,Q1,7.30645161290323
n01-chp-etd003s-p01-c16.txt,Q2,7.61290322580645
n01-chp-etd003s-p01-c16.txt,Q3,7.48387096774194
n01-chp-etd003s-p01-c16.txt,Q4,7.67741935483871
n01-chp-etd003s-p01-c16.txt,Q5,7.03225806451613
n01-chp-etd003s-p01-c16.txt,Q6,6.59677419354839
n01-chp-etd003s-p01-c16.txt,Q7,7.56451612903226
n01-chp-etd003s-p01-c16.txt,Q8,6.78688524590164
n01-chp-etd003s-p01-c16.txt,Q9,6.0655737704918
n01-chp-etd003s-p01-c19.txt,Q1,7.73684210526316
n01-chp-etd003s-p01-c19.txt,Q2,6.94915254237288
n01-chp-etd003s-p01-c19.txt,Q3,7.28813559322034
n01-chp-etd003s-p01-c19.txt,Q4,8.08474576271187
n01-chp-etd003s-p01-c19.txt,Q5,7.76271186440678
n01-chp-etd003s-p01-c19.txt,Q6,7.49152542372881
n01-chp-etd003s-p01-c19.txt,Q7,8.01694915254237
n01-chp-etd003s-p01-c19.txt,Q8,7.75438596491228
n01-chp-etd003s-p01-c19.txt,Q9,8.10526315789474
n01-chp-etd003s-p01-c23.txt,Q1,7.08823529411765
n01-chp-etd003s-p01-c23.txt,Q2,7.01449275362319
n01-chp-etd003s-p01-c23.txt,Q3,7.1304347826087
n01-chp-etd003s-p01-c23.txt,Q4,7.7536231884058
n01-chp-etd003s-p01-c23.txt,Q5,6.81159420289855
n01-chp-etd003s-p01-c23.txt,Q6,6.22727272727273
n01-chp-etd003s-p01-c23.txt,Q7,7.72058823529412
n01-chp-etd003s-p01-c23.txt,Q8,6.79710144927536
n01-chp-etd003s-p01-c23.txt,Q9,5.84126984126984
n01-chp-etd003s-p02-c07.txt,Q1,7.69333333333333
n01-chp-etd003s-p02-c07.txt,Q2,7.24675324675325
n01-chp-etd003s-p02-c07.txt,Q3,7.38157894736842
n01-chp-etd003s-p02-c07.txt,Q4,7.86842105263158
n01-chp-etd003s-p02-c07.txt,Q5,7.01298701298701
n01-chp-etd003s-p02-c07.txt,Q6,7.21052631578947
n01-chp-etd003s-p02-c07.txt,Q7,8.06756756756757
n01-chp-etd003s-p02-c07.txt,Q8,7.35064935064935
n01-chp-etd003s-p02-c07.txt,Q9,7.4025974025974
n01-chp-etd003s-p02-c12.txt,Q1,7.04477611940299
n01-chp-etd003s-p02-c12.txt,Q2,6.85074626865672
n01-chp-etd003s-p02-c12.txt,Q3,7
n01-chp-etd003s-p02-c12.txt,Q4,7.51470588235294
n01-chp-etd003s-p02-c12.txt,Q5,6.73913043478261
n01-chp-etd003s-p02-c12.txt,Q6,6.34782608695652
n01-chp-etd003s-p02-c12.txt,Q7,7.44117647058824
n01-chp-etd003s-p02-c12.txt,Q8,6.85507246376812
n01-chp-etd003s-p02-c12.txt,Q9,6.68115942028986
n01-chp-etd003s-p02-c13.txt,Q1,6.07017543859649
n01-chp-etd003s-p02-c13.txt,Q2,8.3859649122807
n01-chp-etd003s-p02-c13.txt,Q3,7.52631578947368
n01-chp-etd003s-p02-c13.txt,Q4,7.92857142857143
n01-chp-etd003s-p02-c13.txt,Q5,5.14545454545455
n01-chp-etd003s-p02-c13.txt,Q6,4.75471698113208
n01-chp-etd003s-p02-c13.txt,Q7,7.47368421052632
n01-chp-etd003s-p02-c13.txt,Q8,5.58620689655172
n01-chp-etd003s-p02-c13.txt,Q9,4.41176470588235
n01-chp-etd003s-p02-c17.txt,Q1,6.8030303030303
n01-chp-etd003s-p02-c17.txt,Q2,5.35384615384615
n01-chp-etd003s-p02-c17.txt,Q3,5.90769230769231
n01-chp-etd003s-p02-c17.txt,Q4,7.28571428571429
n01-chp-etd003s-p02-c17.txt,Q5,6.89230769230769
n01-chp-etd003s-p02-c17.txt,Q6,6.89393939393939
n01-chp-etd003s-p02-c17.txt,Q7,7.37878787878788
